source_meta_package	dependency_type	package	raw_dependency	selected_by_upstream_installer	source_file
illogical-impulse-audio	depends	cava	cava	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-audio/PKGBUILD
illogical-impulse-audio	depends	libdbusmenu-gtk3	libdbusmenu-gtk3	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-audio/PKGBUILD
illogical-impulse-audio	depends	pavucontrol-qt	pavucontrol-qt	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-audio/PKGBUILD
illogical-impulse-audio	depends	pipewire-pulse	pipewire-pulse	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-audio/PKGBUILD
illogical-impulse-audio	depends	playerctl	playerctl	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-audio/PKGBUILD
illogical-impulse-audio	depends	wireplumber	wireplumber	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-audio/PKGBUILD
illogical-impulse-backlight	depends	brightnessctl	brightnessctl	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-backlight/PKGBUILD
illogical-impulse-backlight	depends	ddcutil	ddcutil	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-backlight/PKGBUILD
illogical-impulse-backlight	depends	geoclue	geoclue	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-backlight/PKGBUILD
illogical-impulse-basic	depends	bc	bc	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	cliphist	cliphist	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	cmake	cmake	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	coreutils	coreutils	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	curl	curl	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	go-yq	go-yq	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	jq	jq	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	ripgrep	ripgrep	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	rsync	rsync	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	wget	wget	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-basic	depends	xdg-user-dirs	xdg-user-dirs	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-basic/PKGBUILD
illogical-impulse-fonts-themes	depends	adw-gtk-theme-git	adw-gtk-theme-git	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	breeze	breeze	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	breeze-plus	breeze-plus	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	darkly-bin	darkly-bin	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	eza	eza	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	fish	fish	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	fontconfig	fontconfig	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	kitty	kitty	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	matugen	matugen	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	otf-space-grotesk	otf-space-grotesk	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	starship	starship	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
illogical-impulse-fonts-themes	depends	ttf-jetbrains-mono-nerd	ttf-jetbrains-mono-nerd	yes	upstream/illogical-impulse-system/sdata/dist-arch/illogical-impulse-fonts-themes/PKGBUILD
